"REFERENCE_FILE","DOFLOW_FILE","MODE","ALLOWLIST","REASON","REFERENCE_SHA256","DOFLOW_SHA256","JSX_PARITY","CLASS_PARITY"
"src/features/commercial/components/lead-commercial-path.tsx","apps/frontend/src/features/commercial/components/lead-commercial-path.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Commercial UI contract backed by real Doflow API adapters and capabilities","77a287cd08b3f71aae9f6a649a5b4e7d8821ad536c22d2641a0c89956d24be89","ae35ce477b44d47337d144f8b5f286e2c9f5f1be03c279cb5997e57b052ff8f9","PASS","PASS"
"src/features/commercial/components/lead-detail/lead-detail-actions.tsx","apps/frontend/src/features/commercial/components/lead-detail/lead-detail-actions.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Commercial UI contract backed by real Doflow API adapters and capabilities","94918e2fd1590f758ac288095df23b229ed553a2fb22748c1a160f5ab740f8a3","084971f7dd5103f8a6894e0e60ebcd259034f786ec62d2a0fd8b653d1089db69","PASS","PASS"
"src/features/commercial/components/lead-detail/lead-detail-operational-card.tsx","apps/frontend/src/features/commercial/components/lead-detail/lead-detail-operational-card.tsx","VERBATIM","","SHA-256 identical","49223a0296b0df6844772e89536fc9a33823ba149d74eb6c7e944d545a817ce0","49223a0296b0df6844772e89536fc9a33823ba149d74eb6c7e944d545a817ce0","N/A","N/A"
"src/features/commercial/components/lead-detail/lead-detail-page.tsx","apps/frontend/src/features/commercial/components/lead-detail/lead-detail-page.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Commercial UI contract backed by real Doflow API adapters and capabilities","baef98b0ea0b1b097b1a2477c3997a1172347ff33cc2e32a88c751ef0473bdcf","49d685274cd75b260795264f42dcde2a0e6e896e89aa0faba823403731cb52f7","PASS","PASS"
"src/features/commercial/components/lead-detail/lead-detail-workspace.tsx","apps/frontend/src/features/commercial/components/lead-detail/lead-detail-workspace.tsx","VERBATIM","","SHA-256 identical","15bf78d29bf7eb21c371bfccfc80f7337e6e1cd912a533b892ae35e56fbf5eeb","15bf78d29bf7eb21c371bfccfc80f7337e6e1cd912a533b892ae35e56fbf5eeb","N/A","N/A"
"src/features/commercial/components/lead-detail/lead-timeline-card.tsx","apps/frontend/src/features/commercial/components/lead-detail/lead-timeline-card.tsx","VERBATIM","","SHA-256 identical","de8e9f33ee828b42275b4852752801af0c0b4efe24a23d8cebd30dfd3bcf6b90","de8e9f33ee828b42275b4852752801af0c0b4efe24a23d8cebd30dfd3bcf6b90","N/A","N/A"
"src/features/commercial/components/lead-quick-sheet.tsx","apps/frontend/src/features/commercial/components/lead-quick-sheet.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Commercial UI contract backed by real Doflow API adapters and capabilities","7f5c4881972a41970fd2b1d344de1d522b9bdbbbee07c1c36f2547514d47736b","280bb9e1159080649ef24c820e34b408147614f704ff93d4d3995c6202daa1d5","PASS","PASS"
"src/features/commercial/components/open-in-calendar-link.tsx","apps/frontend/src/features/commercial/components/open-in-calendar-link.tsx","VERBATIM","","SHA-256 identical","22fca8bfb13dfcb265ccae6b98636022c16d94c997ec8a99a34fd140de692052","22fca8bfb13dfcb265ccae6b98636022c16d94c997ec8a99a34fd140de692052","N/A","N/A"
"src/features/commercial/components/project-production-panel.tsx","apps/frontend/src/features/commercial/components/project-production-panel.tsx","VISUAL_VERBATIM_DATA_ADAPTER","E,F,H","Commercial UI contract backed by real Doflow API adapters and capabilities","bd844507563fe92d85f91d70dfc31cb1e39653f3681f69d94e74bd5e4c32d3bf","8291bcdec82798514a0d4cb312a356cc170dfae8714c13d71fbfa071ff46a802","PASS","PASS"
"src/features/commercial/components/project-status-badge.tsx","apps/frontend/src/features/commercial/components/project-status-badge.tsx","VERBATIM","","SHA-256 identical","54aa83bc5749fd62997abc204c782406ea2a508d354cc0f55b9a9d46041b7bed","54aa83bc5749fd62997abc204c782406ea2a508d354cc0f55b9a9d46041b7bed","N/A","N/A"
