"status","path","category","reason","commit_decision","risk","bytes","kind","rc_relation"
"M","apps/frontend/src/app/superadmin/sales/pipeline/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","18331","text","direct"
"M","apps/frontend/src/app/superadmin/sales/quote-requests/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","40936","text","direct"
"M","apps/frontend/src/app/superadmin/settings/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","8654","text","direct"
"M","apps/frontend/src/app/superadmin/storage/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","37180","text","direct"
"M","apps/frontend/src/app/superadmin/subscriptions/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","13319","text","direct"
"M","apps/frontend/src/app/superadmin/system/components/tab-api-usage.tsx","01-frontend-application","release candidate replacement","include-release","medium","7881","text","direct"
"M","apps/frontend/src/app/superadmin/system/components/tab-audit.tsx","01-frontend-application","release candidate replacement","include-release","medium","9400","text","direct"
"M","apps/frontend/src/app/superadmin/system/components/tab-overview.tsx","01-frontend-application","release candidate replacement","include-release","medium","9301","text","direct"
"M","apps/frontend/src/app/superadmin/system/system-monitor-client.tsx","01-frontend-application","release candidate replacement","include-release","medium","14524","text","direct"
"M","apps/frontend/src/app/superadmin/tenants/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","35278","text","direct"
"M","apps/frontend/src/app/superadmin/tickets/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","25150","text","direct"
"M","apps/frontend/src/app/superadmin/users/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","44199","text","direct"
"M","apps/frontend/src/app/tenant-users/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","2464","text","direct"
"M","apps/frontend/src/app/terms/page.tsx","01-frontend-application","release candidate replacement","include-release","medium","6655","text","direct"
"M","apps/frontend/src/components/app-sidebar.tsx","01-frontend-application","release candidate replacement","include-release","medium","5070","text","direct"
"M","apps/frontend/src/components/auth/auth-shell.tsx","01-frontend-application","release candidate replacement","include-release","high","3032","text","direct"
"M","apps/frontend/src/components/auth/login-experience.tsx","01-frontend-application","release candidate replacement","include-release","high","3362","text","direct"
"M","apps/frontend/src/components/auth/login-panel.tsx","01-frontend-application","release candidate replacement","include-release","high","16230","text","direct"
"M","apps/frontend/src/components/auth/register-panel.tsx","01-frontend-application","release candidate replacement","include-release","high","18398","text","direct"
"??","apps/frontend/src/components/chart-radial-grid.tsx","01-frontend-application","release candidate replacement","include-release","medium","1635","text","direct"
"??","apps/frontend/src/components/dashboard-header.tsx","01-frontend-application","release candidate replacement","include-release","medium","3346","text","direct"
"M","apps/frontend/src/components/dashboard/activity-feed.tsx","01-frontend-application","release candidate replacement","include-release","medium","4880","text","direct"
"M","apps/frontend/src/components/dashboard/dashboard-grid.tsx","01-frontend-application","release candidate replacement","include-release","medium","6694","text","direct"
"M","apps/frontend/src/components/dashboard/dashboard-widgets.tsx","01-frontend-application","release candidate replacement","include-release","medium","21050","text","direct"
"M","apps/frontend/src/components/dashboard/layout.tsx","01-frontend-application","release candidate replacement","include-release","medium","7859","text","direct"
"M","apps/frontend/src/components/doflow-record-panel/commercial-record-panel.tsx","01-frontend-application","release candidate replacement","include-release","medium","13556","text","direct"
"M","apps/frontend/src/components/doflow-record-panel/project-record-panel.tsx","01-frontend-application","release candidate replacement","include-release","medium","9413","text","direct"
"M","apps/frontend/src/components/doflow-record-panel/record-timeline.tsx","01-frontend-application","release candidate replacement","include-release","medium","21882","text","direct"
"??","apps/frontend/src/components/entity-image-dialog.tsx","01-frontend-application","release candidate replacement","include-release","medium","5132","text","direct"
"??","apps/frontend/src/components/global-search.tsx","01-frontend-application","release candidate replacement","include-release","medium","10670","text","direct"
"M","apps/frontend/src/components/layout/tenant-sidebar-section.tsx","01-frontend-application","release candidate replacement","include-release","medium","12299","text","direct"
"M","apps/frontend/src/components/layout/tenant-sidebar.tsx","01-frontend-application","release candidate replacement","include-release","medium","14789","text","direct"
"M","apps/frontend/src/components/layout/theme-settings-drawer.tsx","01-frontend-application","release candidate replacement","include-release","medium","14079","text","direct"
"M","apps/frontend/src/components/layout/user-nav.tsx","01-frontend-application","release candidate replacement","include-release","medium","4152","text","direct"
"??","apps/frontend/src/components/nav-main.tsx","01-frontend-application","release candidate replacement","include-release","high","2837","text","direct"
"??","apps/frontend/src/components/nav-projects.tsx","01-frontend-application","release candidate replacement","include-release","medium","2501","text","direct"
"??","apps/frontend/src/components/nav-user.tsx","01-frontend-application","release candidate replacement","include-release","medium","3014","text","direct"
"??","apps/frontend/src/components/notifications-menu.tsx","01-frontend-application","release candidate replacement","include-release","medium","4788","text","direct"
"??","apps/frontend/src/components/team-switcher.tsx","01-frontend-application","release candidate replacement","include-release","medium","3541","text","direct"
"M","apps/frontend/src/components/tenant-administration/administration-model.ts","01-frontend-application","release candidate replacement","include-release","medium","6587","text","direct"
"M","apps/frontend/src/components/tenant-administration/administration-overview.tsx","01-frontend-application","release candidate replacement","include-release","medium","6606","text","direct"
"M","apps/frontend/src/components/tenant-administration/contract-detail-panel.tsx","01-frontend-application","release candidate replacement","include-release","medium","5014","text","direct"
"M","apps/frontend/src/components/tenant-administration/contracts-kpis.tsx","01-frontend-application","release candidate replacement","include-release","medium","1629","text","direct"
"M","apps/frontend/src/components/tenant-administration/contracts-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","8862","text","direct"
"M","apps/frontend/src/components/tenant-administration/invoices-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","11045","text","direct"
"M","apps/frontend/src/components/tenant-administration/renewals-follow-up-panel.tsx","01-frontend-application","release candidate replacement","include-release","medium","4052","text","direct"
"M","apps/frontend/src/components/tenant-administration/renewals-kpis.tsx","01-frontend-application","release candidate replacement","include-release","medium","1967","text","direct"
"M","apps/frontend/src/components/tenant-administration/renewals-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","12269","text","direct"
"M","apps/frontend/src/components/tenant-automation-center/automation-monitoring-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","10455","text","direct"
"M","apps/frontend/src/components/tenant-automation-center/automation-overview.tsx","01-frontend-application","release candidate replacement","include-release","medium","4012","text","direct"
"M","apps/frontend/src/components/tenant-automation-center/automation-reports-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","6094","text","direct"
"M","apps/frontend/src/components/tenant-automation-center/automation-rules-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","9742","text","direct"
"M","apps/frontend/src/components/tenant-automations/automations-core.tsx","01-frontend-application","release candidate replacement","include-release","medium","44293","text","direct"
"M","apps/frontend/src/components/tenant-calendar/calendar-core.tsx","01-frontend-application","release candidate replacement","include-release","medium","52743","text","direct"
"M","apps/frontend/src/components/tenant-commercial/commercial-clients.tsx","01-frontend-application","release candidate replacement","include-release","medium","19921","text","direct"
"M","apps/frontend/src/components/tenant-commercial/commercial-overview.tsx","01-frontend-application","release candidate replacement","include-release","medium","6481","text","direct"
"M","apps/frontend/src/components/tenant-commercial/commercial-pipeline.tsx","01-frontend-application","release candidate replacement","include-release","medium","12518","text","direct"
"M","apps/frontend/src/components/tenant-commercial/commercial-today-actions.tsx","01-frontend-application","release candidate replacement","include-release","medium","2287","text","direct"
"M","apps/frontend/src/components/tenant-commercial/commercial-utils.ts","01-frontend-application","release candidate replacement","include-release","medium","3232","text","direct"
"M","apps/frontend/src/components/tenant-commercial/pipeline-deal-card.tsx","01-frontend-application","release candidate replacement","include-release","medium","5816","text","direct"
"M","apps/frontend/src/components/tenant-commercial/quotes-follow-up-panel.tsx","01-frontend-application","release candidate replacement","include-release","medium","2753","text","direct"
"M","apps/frontend/src/components/tenant-commercial/quotes-table.tsx","01-frontend-application","release candidate replacement","include-release","medium","9933","text","direct"
"M","apps/frontend/src/components/tenant-contracts/contracts-core.tsx","01-frontend-application","release candidate replacement","include-release","medium","36169","text","direct"
"M","apps/frontend/src/components/tenant-credentials/credential-audit.tsx","01-frontend-application","release candidate replacement","include-release","medium","1889","text","direct"
"M","apps/frontend/src/components/tenant-credentials/credential-detail.tsx","01-frontend-application","release candidate replacement","include-release","medium","9635","text","direct"
"M","apps/frontend/src/components/tenant-credentials/credential-form.tsx","01-frontend-application","release candidate replacement","include-release","medium","9131","text","direct"
"M","apps/frontend/src/components/tenant-credentials/credential-links.tsx","01-frontend-application","release candidate replacement","include-release","medium","4450","text","direct"
"M","apps/frontend/src/components/tenant-credentials/credential-permissions.tsx","01-frontend-application","release candidate replacement","include-release","medium","7206","text","direct"
"M","apps/frontend/src/components/tenant-credentials/credential-replace-secret-dialog.tsx","01-frontend-application","release candidate replacement","include-release","medium","3271","text","direct"
"M","apps/frontend/src/components/tenant-credentials/credential-reveal-dialog.tsx","01-frontend-application","release candidate replacement","include-release","medium","5852","text","direct"
"M","apps/frontend/src/components/tenant-credentials/credential-rotate-dialog.tsx","01-frontend-application","release candidate replacement","include-release","medium","3839","text","direct"
"M","apps/frontend/src/components/tenant-credentials/credential-rotations.tsx","01-frontend-application","release candidate replacement","include-release","medium","1977","text","direct"
"M","apps/frontend/src/components/tenant-credentials/credential-secret-form.tsx","01-frontend-application","release candidate replacement","include-release","medium","6023","text","direct"
"M","apps/frontend/src/components/tenant-credentials/credentials-overview.tsx","01-frontend-application","release candidate replacement","include-release","medium","5412","text","direct"
"M","apps/frontend/src/components/tenant-crm/briefing-quotes.tsx","01-frontend-application","release candidate replacement","include-release","medium","71386","text","direct"
"M","apps/frontend/src/components/tenant-crm/crm-core.tsx","01-frontend-application","release candidate replacement","include-release","medium","23395","text","direct"
"M","apps/frontend/src/components/tenant-documents/document-detail.tsx","01-frontend-application","release candidate replacement","include-release","medium","13068","text","direct"
"M","apps/frontend/src/components/tenant-documents/document-folders.tsx","01-frontend-application","release candidate replacement","include-release","medium","8155","text","direct"
"M","apps/frontend/src/components/tenant-documents/documents-core.tsx","01-frontend-application","release candidate replacement","include-release","medium","7387","text","direct"
"M","apps/frontend/src/components/tenant-finance/finance-core.tsx","01-frontend-application","release candidate replacement","include-release","medium","63405","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-activity.tsx","01-frontend-application","release candidate replacement","include-release","medium","2047","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-article-detail.tsx","01-frontend-application","release candidate replacement","include-release","medium","9221","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-articles-list.tsx","01-frontend-application","release candidate replacement","include-release","medium","5521","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-asset-collections.tsx","01-frontend-application","release candidate replacement","include-release","medium","3823","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-asset-detail.tsx","01-frontend-application","release candidate replacement","include-release","medium","4123","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-assets-list.tsx","01-frontend-application","release candidate replacement","include-release","medium","4406","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-categories.tsx","01-frontend-application","release candidate replacement","include-release","medium","5735","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-core.tsx","01-frontend-application","release candidate replacement","include-release","medium","5687","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-favorites.tsx","01-frontend-application","release candidate replacement","include-release","medium","2245","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-search.tsx","01-frontend-application","release candidate replacement","include-release","medium","3718","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-tags.tsx","01-frontend-application","release candidate replacement","include-release","medium","4325","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-template-detail.tsx","01-frontend-application","release candidate replacement","include-release","medium","5440","text","direct"
"M","apps/frontend/src/components/tenant-knowledge/knowledge-templates-list.tsx","01-frontend-application","release candidate replacement","include-release","medium","5041","text","direct"
"M","apps/frontend/src/components/tenant-notifications/notification-digest.tsx","01-frontend-application","release candidate replacement","include-release","medium","6774","text","direct"
"M","apps/frontend/src/components/tenant-notifications/notification-preferences.tsx","01-frontend-application","release candidate replacement","include-release","medium","8156","text","direct"
"M","apps/frontend/src/components/tenant-notifications/notification-rules.tsx","01-frontend-application","release candidate replacement","include-release","medium","8485","text","direct"
"M","apps/frontend/src/components/tenant-notifications/notifications-core.tsx","01-frontend-application","release candidate replacement","include-release","medium","6342","text","direct"
"M","apps/frontend/src/components/tenant-paperwork/paperwork-core.tsx","01-frontend-application","release candidate replacement","include-release","medium","21782","text","direct"
"M","apps/frontend/src/components/tenant-projects/projects-core.tsx","01-frontend-application","release candidate replacement","include-release","medium","76831","text","direct"
"M","apps/frontend/src/components/tenant-reports/consultant-performance.tsx","01-frontend-application","release candidate replacement","include-release","medium","14736","text","direct"
"M","apps/frontend/src/components/tenant-reports/executive-report.tsx","01-frontend-application","release candidate replacement","include-release","medium","4236","text","direct"
"M","apps/frontend/src/components/tenant-reports/kpi-targets.tsx","01-frontend-application","release candidate replacement","include-release","medium","6835","text","direct"
"M","apps/frontend/src/components/tenant-reports/operations-report.tsx","01-frontend-application","release candidate replacement","include-release","medium","2509","text","direct"
"M","apps/frontend/src/components/tenant-reports/report-snapshots.tsx","01-frontend-application","release candidate replacement","include-release","medium","5662","text","direct"
"M","apps/frontend/src/components/tenant-reports/reports-core.tsx","01-frontend-application","release candidate replacement","include-release","medium","13284","text","direct"
"M","apps/frontend/src/components/tenant-reports/saved-views.tsx","01-frontend-application","release candidate replacement","include-release","medium","6271","text","direct"
"M","apps/frontend/src/components/tenant-resources/knowledge-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","11180","text","direct"
"M","apps/frontend/src/components/tenant-resources/team-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","11267","text","direct"
"M","apps/frontend/src/components/tenant-resources/workload-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","12746","text","direct"
"M","apps/frontend/src/components/tenant-settings-center/general-settings-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","13935","text","direct"
"M","apps/frontend/src/components/tenant-settings-center/security-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","9786","text","direct"
"M","apps/frontend/src/components/tenant-settings-center/settings-navigation.tsx","01-frontend-application","release candidate replacement","include-release","medium","1659","text","direct"
"M","apps/frontend/src/components/tenant-settings-center/user-permissions-panel.tsx","01-frontend-application","release candidate replacement","include-release","medium","8139","text","direct"
"M","apps/frontend/src/components/tenant-settings-center/users-permissions-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","13559","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposal-activity-panel.tsx","01-frontend-application","release candidate replacement","include-release","medium","2958","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposal-config-editor.tsx","01-frontend-application","release candidate replacement","include-release","medium","7241","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposal-crm-editor.tsx","01-frontend-application","release candidate replacement","include-release","medium","7259","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposal-detail.tsx","01-frontend-application","release candidate replacement","include-release","medium","25844","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposal-images.tsx","01-frontend-application","release candidate replacement","include-release","medium","3709","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposal-import-detail.tsx","01-frontend-application","release candidate replacement","include-release","medium","14773","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposal-new.tsx","01-frontend-application","release candidate replacement","include-release","medium","11549","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposal-preview.tsx","01-frontend-application","release candidate replacement","include-release","medium","5842","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposal-themes.tsx","01-frontend-application","release candidate replacement","include-release","medium","17593","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposal-utils.ts","01-frontend-application","release candidate replacement","include-release","medium","4561","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposals-access-gate.tsx","01-frontend-application","release candidate replacement","include-release","medium","779","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposals-archive.tsx","01-frontend-application","release candidate replacement","include-release","medium","13756","text","direct"
"M","apps/frontend/src/components/tenant-site-proposals/site-proposals-list.tsx","01-frontend-application","release candidate replacement","include-release","medium","18328","text","direct"
"M","apps/frontend/src/components/tenant-team/team-availability.tsx","01-frontend-application","release candidate replacement","include-release","medium","10017","text","direct"
"M","apps/frontend/src/components/tenant-team/team-core.tsx","01-frontend-application","release candidate replacement","include-release","medium","11504","text","direct"
"M","apps/frontend/src/components/tenant-team/team-member-detail.tsx","01-frontend-application","release candidate replacement","include-release","medium","15437","text","direct"
"M","apps/frontend/src/components/tenant-team/team-member-form.tsx","01-frontend-application","release candidate replacement","include-release","medium","10043","text","direct"
"M","apps/frontend/src/components/tenant-team/team-skills.tsx","01-frontend-application","release candidate replacement","include-release","medium","4710","text","direct"
"M","apps/frontend/src/components/tenant-team/team-time-entries.tsx","01-frontend-application","release candidate replacement","include-release","medium","11333","text","direct"
"M","apps/frontend/src/components/tenant-team/team-workload.tsx","01-frontend-application","release candidate replacement","include-release","medium","5245","text","direct"
"M","apps/frontend/src/components/tenant-work/calendar-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","16513","text","direct"
"M","apps/frontend/src/components/tenant-work/projects-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","23250","text","direct"
"M","apps/frontend/src/components/tenant-work/tasks-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","19490","text","direct"
"M","apps/frontend/src/components/tenant-work/work-overview.tsx","01-frontend-application","release candidate replacement","include-release","medium","15300","text","direct"
"??","apps/frontend/src/components/theme-provider.tsx","01-frontend-application","release candidate replacement","include-release","medium","291","text","direct"
"??","apps/frontend/src/components/theme-toggle.tsx","01-frontend-application","release candidate replacement","include-release","medium","790","text","direct"
"M","apps/frontend/src/components/theme/theme-toggle.tsx","01-frontend-application","release candidate replacement","include-release","medium","1350","text","direct"
"M","apps/frontend/src/components/ui/alert-dialog.tsx","01-frontend-application","release candidate replacement","include-release","medium","5637","text","direct"
"M","apps/frontend/src/components/ui/avatar.tsx","01-frontend-application","release candidate replacement","include-release","medium","3097","text","direct"
"M","apps/frontend/src/components/ui/badge.tsx","01-frontend-application","release candidate replacement","include-release","medium","1865","text","direct"
"M","apps/frontend/src/components/ui/button.tsx","01-frontend-application","release candidate replacement","include-release","medium","3435","text","direct"
"M","apps/frontend/src/components/ui/calendar.tsx","01-frontend-application","release candidate replacement","include-release","medium","8284","text","direct"
"M","apps/frontend/src/components/ui/card.tsx","01-frontend-application","release candidate replacement","include-release","medium","2629","text","direct"
"M","apps/frontend/src/components/ui/carousel.tsx","01-frontend-application","release candidate replacement","include-release","medium","6370","text","direct"
"M","apps/frontend/src/components/ui/chart.tsx","01-frontend-application","release candidate replacement","include-release","medium","10500","text","direct"
"M","apps/frontend/src/components/ui/command.tsx","01-frontend-application","release candidate replacement","include-release","medium","4958","text","direct"
"M","apps/frontend/src/components/ui/dialog.tsx","01-frontend-application","release candidate replacement","include-release","medium","4233","text","direct"
"M","apps/frontend/src/components/ui/dropdown-menu.tsx","01-frontend-application","release candidate replacement","include-release","medium","8830","text","direct"
"??","apps/frontend/src/components/ui/empty.tsx","01-frontend-application","release candidate replacement","include-release","medium","2397","text","direct"
"M","apps/frontend/src/components/ui/export-button.tsx","01-frontend-application","release candidate replacement","include-release","medium","1508","text","direct"
"M","apps/frontend/src/components/ui/global-search.tsx","01-frontend-application","release candidate replacement","include-release","medium","13062","text","direct"
"??","apps/frontend/src/components/ui/input-group.tsx","01-frontend-application","release candidate replacement","include-release","medium","5206","text","direct"
"M","apps/frontend/src/components/ui/pagination.tsx","01-frontend-application","release candidate replacement","include-release","medium","2751","text","direct"
"M","apps/frontend/src/components/ui/resizable.tsx","01-frontend-application","release candidate replacement","include-release","medium","1720","text","direct"
"M","apps/frontend/src/components/ui/sheet.tsx","01-frontend-application","release candidate replacement","include-release","medium","4664","text","direct"
"M","apps/frontend/src/components/ui/sidebar.tsx","01-frontend-application","release candidate replacement","include-release","medium","25622","text","direct"
"M","apps/frontend/src/components/ui/toggle-group.tsx","01-frontend-application","release candidate replacement","include-release","medium","3191","text","direct"
"??","apps/frontend/src/components/user-avatar.tsx","01-frontend-application","release candidate replacement","include-release","medium","703","text","direct"
"M","apps/frontend/src/config/tenant-navigation.ts","01-frontend-application","release candidate replacement","include-release","medium","7940","text","direct"
"M","apps/frontend/src/contexts/AppSettingsContext.tsx","01-frontend-application","release candidate replacement","include-release","medium","3407","text","direct"
"M","apps/frontend/src/contexts/TenantAccessContext.tsx","01-frontend-application","release candidate replacement","include-release","medium","2759","text","direct"
"??","apps/frontend/src/features/commercial/commercial-analytics.ts","01-frontend-application","release candidate replacement","include-release","medium","4142","text","direct"
"??","apps/frontend/src/features/commercial/commercial-automations.ts","01-frontend-application","release candidate replacement","include-release","medium","2596","text","direct"
"??","apps/frontend/src/features/commercial/commercial-campaigns.ts","01-frontend-application","release candidate replacement","include-release","medium","5774","text","direct"
"??","apps/frontend/src/features/commercial/commercial-collaboration.ts","01-frontend-application","release candidate replacement","include-release","medium","2775","text","direct"
"??","apps/frontend/src/features/commercial/commercial-commerce.ts","01-frontend-application","release candidate replacement","include-release","medium","8723","text","direct"
"??","apps/frontend/src/features/commercial/commercial-documents.ts","01-frontend-application","release candidate replacement","include-release","medium","1811","text","direct"
"??","apps/frontend/src/features/commercial/commercial-production.ts","01-frontend-application","release candidate replacement","include-release","medium","5821","text","direct"
"??","apps/frontend/src/features/commercial/commercial-provider-adapters.ts","01-frontend-application","release candidate replacement","include-release","medium","24027","text","direct"
"??","apps/frontend/src/features/commercial/commercial-provider-types.ts","01-frontend-application","release candidate replacement","include-release","medium","29282","text","direct"
"??","apps/frontend/src/features/commercial/commercial-rankings.ts","01-frontend-application","release candidate replacement","include-release","medium","4042","text","direct"
"??","apps/frontend/src/features/commercial/components/activity-detail-sheet.tsx","01-frontend-application","release candidate replacement","include-release","medium","14001","text","direct"
"??","apps/frontend/src/features/commercial/components/activity-form-dialog.tsx","01-frontend-application","release candidate replacement","include-release","medium","9576","text","direct"
"??","apps/frontend/src/features/commercial/components/activity-kanban-board.tsx","01-frontend-application","release candidate replacement","include-release","medium","7858","text","direct"
"??","apps/frontend/src/features/commercial/components/automation-performance-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","7382","text","direct"
"??","apps/frontend/src/features/commercial/components/client-activities-tab.tsx","01-frontend-application","release candidate replacement","include-release","medium","7297","text","direct"
"??","apps/frontend/src/features/commercial/components/client-operations-tabs.tsx","01-frontend-application","release candidate replacement","include-release","medium","26090","text","direct"
"??","apps/frontend/src/features/commercial/components/client-projects-tab.tsx","01-frontend-application","release candidate replacement","include-release","medium","16311","text","direct"
"??","apps/frontend/src/features/commercial/components/client-quick-sheet.tsx","01-frontend-application","release candidate replacement","include-release","medium","9600","text","direct"
"??","apps/frontend/src/features/commercial/components/commerce-form-dialogs.tsx","01-frontend-application","release candidate replacement","include-release","medium","28501","text","direct"
"??","apps/frontend/src/features/commercial/components/commerce-operations-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","24080","text","direct"
"??","apps/frontend/src/features/commercial/components/commerce-order-detail-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","8183","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-activities-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","19557","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-archive-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","5836","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-campaigns-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","13881","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-client-detail-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","30714","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-clients-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","13890","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-dashboard-refined.tsx","01-frontend-application","release candidate replacement","include-release","medium","30943","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-deadlines-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","2776","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-document-cycle-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","19455","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-documents-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","5172","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-full-pipeline-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","7070","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-leads-page-layout.tsx","01-frontend-application","release candidate replacement","include-release","medium","22545","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-leads-provider.tsx","01-frontend-application","release candidate replacement","include-release","medium","297242","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-pipeline-board.tsx","01-frontend-application","release candidate replacement","include-release","medium","19005","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-project-detail-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","60071","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-projects-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","10550","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-settings-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","4470","text","direct"
"??","apps/frontend/src/features/commercial/components/commercial-workspace-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","21902","text","direct"
"??","apps/frontend/src/features/commercial/components/contract-renewal-operations-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","36660","text","direct"
"??","apps/frontend/src/features/commercial/components/customer-form-dialog.tsx","01-frontend-application","release candidate replacement","include-release","medium","8498","text","direct"
"??","apps/frontend/src/features/commercial/components/customer-logo.tsx","01-frontend-application","release candidate replacement","include-release","medium","633","text","direct"
"??","apps/frontend/src/features/commercial/components/duplicates-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","21370","text","direct"
"??","apps/frontend/src/features/commercial/components/google-contacts-export-dialog.tsx","01-frontend-application","release candidate replacement","include-release","medium","5274","text","direct"
"??","apps/frontend/src/features/commercial/components/lead-archive-dialog.tsx","01-frontend-application","release candidate replacement","include-release","medium","2078","text","direct"
"??","apps/frontend/src/features/commercial/components/lead-commercial-path.tsx","01-frontend-application","release candidate replacement","include-release","medium","9885","text","direct"
"??","apps/frontend/src/features/commercial/components/lead-detail/lead-detail-actions.tsx","01-frontend-application","release candidate replacement","include-release","medium","8396","text","direct"
"??","apps/frontend/src/features/commercial/components/lead-detail/lead-detail-operational-card.tsx","01-frontend-application","release candidate replacement","include-release","medium","18206","text","direct"
"??","apps/frontend/src/features/commercial/components/lead-detail/lead-detail-page.tsx","01-frontend-application","release candidate replacement","include-release","medium","9251","text","direct"
"??","apps/frontend/src/features/commercial/components/lead-detail/lead-detail-route.tsx","01-frontend-application","release candidate replacement","include-release","medium","442","text","direct"
"??","apps/frontend/src/features/commercial/components/lead-detail/lead-detail-workspace.tsx","01-frontend-application","release candidate replacement","include-release","medium","8246","text","direct"
"??","apps/frontend/src/features/commercial/components/lead-detail/lead-timeline-card.tsx","01-frontend-application","release candidate replacement","include-release","medium","4666","text","direct"
"??","apps/frontend/src/features/commercial/components/lead-quick-sheet.tsx","01-frontend-application","release candidate replacement","include-release","medium","11726","text","direct"
"??","apps/frontend/src/features/commercial/components/project-production-panel.tsx","01-frontend-application","release candidate replacement","include-release","medium","11825","text","direct"
"??","apps/frontend/src/features/commercial/components/ranking-winner-badges.tsx","01-frontend-application","release candidate replacement","include-release","medium","4901","text","direct"
