"status","path","category","reason","commit_decision","risk","bytes","kind","rc_relation"
"M","apps/backend/src/realtime/notifications.gateway.ts","02-backend-application","release candidate replacement","include-release","medium","4431","text","direct"
"M","apps/backend/src/realtime/notifications.module.ts","02-backend-application","release candidate replacement","include-release","medium","403","text","direct"
"M","apps/backend/src/realtime/notifications.service.ts","02-backend-application","release candidate replacement","include-release","medium","2465","text","direct"
"??","apps/backend/src/redis/redis-script.manager.spec.ts","02-backend-application","release candidate replacement","include-release","medium","1772","text","direct"
"M","apps/backend/src/redis/redis-script.manager.ts","02-backend-application","release candidate replacement","include-release","medium","3058","text","direct"
"??","apps/backend/src/scripts/acceptance-ceo-preservation.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","12192","text","direct"
"??","apps/backend/src/scripts/apply-automation-performance-acceptance-migration.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","1267","text","direct"
"??","apps/backend/src/scripts/apply-collaboration-core-acceptance-migration.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","1312","text","direct"
"??","apps/backend/src/scripts/apply-commerce-cash-core-acceptance-migration.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","1651","text","direct"
"??","apps/backend/src/scripts/apply-commercial-core-acceptance-migration.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","1646","text","direct"
"??","apps/backend/src/scripts/apply-delivery-core-acceptance-migration.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","1619","text","direct"
"??","apps/backend/src/scripts/apply-document-revenue-core-acceptance-migration.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","1729","text","direct"
"??","apps/backend/src/scripts/doflow-cutover-snapshot.spec.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","2729","text","direct"
"??","apps/backend/src/scripts/doflow-cutover-snapshot.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","18605","text","direct"
"??","apps/backend/src/scripts/doflow-production-cutover.spec.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","3776","text","direct"
"??","apps/backend/src/scripts/doflow-production-cutover.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","16704","text","direct"
"??","apps/backend/src/scripts/map-doflow-automation-performance-legacy.spec.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","1052","text","direct"
"??","apps/backend/src/scripts/map-doflow-automation-performance-legacy.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","5075","text","direct"
"??","apps/backend/src/scripts/map-doflow-collaboration-legacy.spec.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","685","text","direct"
"??","apps/backend/src/scripts/map-doflow-collaboration-legacy.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","4377","text","direct"
"??","apps/backend/src/scripts/map-doflow-commerce-legacy.spec.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","1830","text","direct"
"??","apps/backend/src/scripts/map-doflow-commerce-legacy.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","6501","text","direct"
"??","apps/backend/src/scripts/map-doflow-delivery-legacy.spec.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","1493","text","direct"
"??","apps/backend/src/scripts/map-doflow-delivery-legacy.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","5190","text","direct"
"??","apps/backend/src/scripts/migrate-doflow-reference.spec.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","1405","text","direct"
"??","apps/backend/src/scripts/migrate-doflow-reference.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","17335","text","direct"
"??","apps/backend/src/scripts/pre179-migration-rehearsal.spec.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","1843","text","direct"
"??","apps/backend/src/scripts/pre179-migration-rehearsal.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","70231","text","direct"
"??","apps/backend/src/scripts/production-backend-entrypoint.spec.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","1203","text","direct"
"??","apps/backend/src/scripts/production-backend-entrypoint.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","1151","text","direct"
"??","apps/backend/src/scripts/production-migration-manifest.spec.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","1348","text","direct"
"??","apps/backend/src/scripts/production-migration-manifest.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","3618","text","direct"
"??","apps/backend/src/scripts/production-migration-runtime.spec.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","8391","text","direct"
"??","apps/backend/src/scripts/production-migration-runtime.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","23236","text","direct"
"??","apps/backend/src/scripts/run-production-migrations.spec.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","585","text","direct"
"??","apps/backend/src/scripts/run-production-migrations.ts","04-scripts-orchestrators","release candidate replacement","include-release","high","923","text","direct"
"??","apps/backend/src/scripts/seed-acceptance-environment.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","11391","text","direct"
"M","apps/backend/src/scripts/seed-doflow-tenant.ts","04-scripts-orchestrators","release candidate replacement","include-release","medium","23622","text","direct"
"M","apps/backend/src/superadmin/invoice-mail.service.ts","02-backend-application","release candidate replacement","include-release","medium","2212","text","direct"
